V1	V2	V3	father
10596	R-HSA-164843	2-LTR circle formation	Homo sapiens	Disease
10597	R-HSA-73843	5-Phosphoribose 1-diphosphate biosynthesis	Homo sapiens	Metabolism
10598	R-HSA-1971475	A tetrasaccharide linker sequence is required for GAG synthesis	Homo sapiens	Metabolism
10599	R-HSA-5619084	ABC transporter disorders	Homo sapiens	Disease
10600	R-HSA-1369062	ABC transporters in lipid homeostasis	Homo sapiens	Transport of small molecules
10601	R-HSA-382556	ABC-family proteins mediated transport	Homo sapiens	Transport of small molecules
10602	R-HSA-9033807	ABO blood group biosynthesis	Homo sapiens	Metabolism
10603	R-HSA-9660821	ADORA2B mediated anti-inflammatory cytokines production	Homo sapiens	Disease
10604	R-HSA-418592	ADP signalling through P2Y purinoceptor 1	Homo sapiens	Hemostasis
10605	R-HSA-392170	ADP signalling through P2Y purinoceptor 12	Homo sapiens	Hemostasis
10606	R-HSA-198323	AKT phosphorylates targets in the cytosol	Homo sapiens	Signal Transduction
10607	R-HSA-198693	AKT phosphorylates targets in the nucleus	Homo sapiens	Signal Transduction
10608	R-HSA-211163	AKT-mediated inactivation of FOXO1A	Homo sapiens	Developmental Biology
10609	R-HSA-9700645	ALK mutants bind TKIs	Homo sapiens	Disease
10610	R-HSA-112122	ALKBH2 mediated reversal of alkylation damage	Homo sapiens	DNA Repair
10611	R-HSA-112126	ALKBH3 mediated reversal of alkylation damage	Homo sapiens	DNA Repair
10612	R-HSA-163680	AMPK inhibits chREBP transcriptional activation activity	Homo sapiens	Metabolism
10613	R-HSA-5467333	APC truncation mutants are not K63 polyubiquitinated	Homo sapiens	Disease
10614	R-HSA-5467337	APC truncation mutants have impaired AXIN binding	Homo sapiens	Disease
10615	R-HSA-179409	APC-Cdc20 mediated degradation of Nek2A	Homo sapiens	Cell Cycle
10616	R-HSA-174143	APC/C-mediated degradation of cell cycle proteins	Homo sapiens	Cell Cycle
10617	R-HSA-174048	APC/C:Cdc20 mediated degradation of Cyclin B	Homo sapiens	Cell Cycle
10618	R-HSA-174154	APC/C:Cdc20 mediated degradation of Securin	Homo sapiens	Cell Cycle
10619	R-HSA-176409	APC/C:Cdc20 mediated degradation of mitotic proteins	Homo sapiens	Cell Cycle
10620	R-HSA-174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	Homo sapiens	Cell Cycle
10621	R-HSA-179419	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	Homo sapiens	Cell Cycle
10622	R-HSA-5649702	APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway	Homo sapiens	DNA Repair
10623	R-HSA-180689	APOBEC3G mediated resistance to HIV-1 infection	Homo sapiens	Disease
